type	run	set	run_cond	block	img_cat	stim	signal	reqSSD	correct	resp1	rt1	trueSSD	stimName
fMRI	1	F	toy	2	savory	1	0	0	4	1	537	0	go1_savory5.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	682	0	go2_savory1.jpeg
fMRI	1	F	toy	2	savory	2	0	0	4	2	545	0	go2_savory2.jpeg
fMRI	2	B	food	1	savory	1	1	250	4	0	0	253	go1_savory4.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	664	0	go1_savory3.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	384	0	go1_savory1.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	508	0	go2_savory5.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	449	0	go2_savory3.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	546	0	go1_savory6.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	524	0	go1_savory2.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	549	0	go1_savory2.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	520	0	go2_savory2.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	628	0	go2_savory5.jpeg
fMRI	2	B	food	1	savory	1	1	300	3	1	481	304	go1_savory2.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	552	0	go1_savory6.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	470	0	go1_savory4.jpeg
fMRI	2	B	food	1	savory	1	1	250	3	1	501	254	go1_savory6.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	0	0	go1_savory1.jpeg
fMRI	2	B	food	1	savory	2	0	0	2	1	359	0	go2_savory5.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	552	0	go1_savory5.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	692	0	go2_savory5.jpeg
fMRI	2	B	food	1	savory	1	1	200	4	0	0	204	go1_savory5.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	568	0	go1_savory3.jpeg
fMRI	2	B	food	1	savory	2	0	0	2	1	580	0	go2_savory6.jpeg
fMRI	2	B	food	1	savory	2	1	250	4	0	0	254	go2_savory1.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	558	0	go1_savory4.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	598	0	go1_savory1.jpeg
fMRI	2	B	food	1	savory	1	1	300	4	0	0	304	go1_savory6.jpeg
fMRI	2	B	food	1	savory	2	0	0	1	0	0	0	go2_savory2.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	492	0	go2_savory4.jpeg
fMRI	2	B	food	1	savory	2	1	350	3	2	529	354	go2_savory2.jpeg
fMRI	2	B	food	1	savory	2	1	300	3	2	691	304	go2_savory5.jpeg
fMRI	2	B	food	1	savory	1	0	0	4	1	583	0	go1_savory1.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	762	0	go2_savory3.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	692	0	go2_savory4.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	429	0	go2_savory1.jpeg
fMRI	2	B	food	1	savory	2	0	0	4	2	431	0	go2_savory6.jpeg
fMRI	2	B	food	1	savory	2	1	250	3	2	435	253	go2_savory3.jpeg
fMRI	2	B	food	1	savory	2	1	200	4	0	0	205	go2_savory4.jpeg
fMRI	2	B	food	2	sweet	2	1	250	4	0	0	252	go2_sweet5.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	512	0	go2_sweet1.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	740	0	go1_sweet4.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	518	0	go1_sweet4.jpeg
fMRI	2	B	food	2	sweet	1	1	300	3	1	681	304	go1_sweet6.jpeg
fMRI	2	B	food	2	sweet	2	1	250	3	1	524	253	go2_sweet2.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	444	0	go2_sweet6.jpeg
fMRI	2	B	food	2	sweet	2	1	200	4	0	0	203	go2_sweet4.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	608	0	go1_sweet2.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	526	0	go1_sweet3.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	529	0	go1_sweet3.jpeg
fMRI	2	B	food	2	sweet	1	1	250	4	0	0	254	go1_sweet1.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	556	0	go2_sweet1.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	551	0	go2_sweet2.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	397	0	go2_sweet5.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	437	0	go2_sweet1.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	728	0	go2_sweet1.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	439	0	go2_sweet5.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	684	0	go1_sweet5.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	493	0	go1_sweet5.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	811	0	go2_sweet2.jpeg
fMRI	2	B	food	2	sweet	2	1	300	3	2	709	304	go2_sweet2.jpeg
fMRI	2	B	food	2	sweet	1	0	0	2	2	149	0	go1_sweet6.jpeg
fMRI	2	B	food	2	sweet	2	1	250	4	0	0	253	go2_sweet5.jpeg
fMRI	2	B	food	2	sweet	1	1	300	4	0	0	304	go1_sweet3.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	730	0	go2_sweet2.jpeg
fMRI	2	B	food	2	sweet	1	0	0	1	0	0	0	go1_sweet6.jpeg
fMRI	2	B	food	2	sweet	1	0	0	1	0	0	0	go1_sweet3.jpeg
fMRI	2	B	food	2	sweet	1	1	350	3	1	494	380	go1_sweet6.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	783	0	go1_sweet4.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	605	0	go2_sweet3.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	587	0	go1_sweet6.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	607	0	go2_sweet6.jpeg
fMRI	2	B	food	2	sweet	1	0	0	4	1	887	0	go1_sweet4.jpeg
fMRI	2	B	food	2	sweet	2	0	0	4	2	647	0	go2_sweet2.jpeg
fMRI	2	B	food	2	sweet	1	1	300	3	1	408	329	go1_sweet1.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	700	0	go2_sweet3.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	532	0	go1_sweet5.jpeg
fMRI	3	D	toy	1	sweet	2	1	250	3	2	560	254	go2_sweet2.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	485	0	go1_sweet4.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	471	0	go2_sweet1.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	585	0	go2_sweet6.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	424	0	go2_sweet3.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	537	0	go1_sweet1.jpeg
fMRI	3	D	toy	1	sweet	2	1	200	3	1	518	203	go2_sweet6.jpeg
fMRI	3	D	toy	1	sweet	1	1	150	4	0	0	154	go1_sweet2.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	615	0	go2_sweet2.jpeg
fMRI	3	D	toy	1	sweet	2	1	200	4	0	0	203	go2_sweet1.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	588	0	go1_sweet4.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	600	0	go2_sweet6.jpeg
fMRI	3	D	toy	1	sweet	1	1	250	4	0	0	253	go1_sweet4.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	552	0	go1_sweet5.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	744	0	go2_sweet2.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	607	0	go1_sweet1.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	515	0	go2_sweet1.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	958	0	go2_sweet2.jpeg
fMRI	3	D	toy	1	sweet	1	1	300	4	0	0	303	go1_sweet6.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	711	0	go2_sweet2.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	714	0	go1_sweet6.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	4	2	695	0	go2_sweet3.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	982	0	go1_sweet1.jpeg
fMRI	3	D	toy	1	sweet	2	1	350	4	0	0	353	go2_sweet3.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	1	0	0	0	go2_sweet4.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	1	0	0	0	go1_sweet4.jpeg
fMRI	3	D	toy	1	sweet	2	1	400	4	0	0	404	go2_sweet5.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	907	0	go1_sweet5.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	0	0	go1_sweet6.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	687	0	go1_sweet3.jpeg
fMRI	3	D	toy	1	sweet	1	1	450	3	1	0	454	go1_sweet3.jpeg
fMRI	3	D	toy	1	sweet	2	0	0	2	1	0	0	go2_sweet2.jpeg
fMRI	3	D	toy	1	sweet	1	0	0	4	1	517	0	go1_sweet5.jpeg
fMRI	3	D	toy	1	sweet	1	1	400	3	1	545	403	go1_sweet1.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	733	0	go2_savory4.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	588	0	go2_savory6.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	598	0	go1_savory3.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	478	0	go2_savory4.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	457	0	go1_savory2.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	520	0	go2_savory2.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	413	0	go1_savory3.jpeg
fMRI	3	D	toy	2	savory	1	1	350	3	2	529	354	go1_savory4.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	476	0	go1_savory5.jpeg
fMRI	3	D	toy	2	savory	2	1	300	3	2	524	303	go2_savory1.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	515	0	go1_savory5.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	788	0	go1_savory1.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	537	0	go2_savory6.jpeg
fMRI	3	D	toy	2	savory	2	1	250	3	2	565	253	go2_savory3.jpeg
fMRI	3	D	toy	2	savory	1	1	200	4	0	0	205	go1_savory3.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	538	0	go2_savory4.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	563	0	go2_savory3.jpeg
fMRI	3	D	toy	2	savory	1	1	250	3	1	659	256	go1_savory2.jpeg
fMRI	3	D	toy	2	savory	2	1	200	4	0	0	202	go2_savory6.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	501	0	go2_savory4.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	830	0	go1_savory5.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	647	0	go2_savory6.jpeg
fMRI	3	D	toy	2	savory	1	1	250	4	0	0	254	go1_savory1.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	554	0	go1_savory3.jpeg
fMRI	3	D	toy	2	savory	1	1	300	3	1	678	304	go1_savory6.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	800	0	go2_savory1.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	977	0	go1_savory1.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	624	0	go1_savory5.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	593	0	go2_savory2.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	564	0	go1_savory6.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	460	0	go2_savory5.jpeg
fMRI	3	D	toy	2	savory	2	1	250	4	0	0	277	go2_savory5.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	485	0	go1_savory2.jpeg
fMRI	3	D	toy	2	savory	2	1	300	3	2	579	330	go2_savory4.jpeg
fMRI	3	D	toy	2	savory	1	0	0	4	1	593	0	go1_savory1.jpeg
fMRI	3	D	toy	2	savory	2	0	0	4	2	584	0	go2_savory4.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	545	0	go1_savory1.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	439	0	go1_savory6.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	799	0	go2_savory6.jpeg
fMRI	4	A	food	1	savory	2	0	0	1	0	0	0	go2_savory2.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	672	0	go1_savory5.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	693	0	go2_savory6.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	529	0	go2_savory2.jpeg
fMRI	4	A	food	1	savory	2	1	250	4	0	0	253	go2_savory6.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	696	0	go2_savory2.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	612	0	go2_savory1.jpeg
fMRI	4	A	food	1	savory	1	1	300	4	0	0	304	go1_savory4.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	602	0	go1_savory3.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	779	0	go1_savory2.jpeg
fMRI	4	A	food	1	savory	2	1	350	3	2	656	354	go2_savory5.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	842	0	go2_savory5.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	293	0	go1_savory3.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	351	0	go1_savory4.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	776	0	go1_savory1.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	641	0	go1_savory2.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	869	0	go2_savory5.jpeg
fMRI	4	A	food	1	savory	1	1	300	3	1	551	307	go1_savory4.jpeg
fMRI	4	A	food	1	savory	1	0	0	2	2	901	0	go1_savory6.jpeg
fMRI	4	A	food	1	savory	1	0	0	1	0	0	0	go1_savory1.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	564	0	go2_savory4.jpeg
fMRI	4	A	food	1	savory	1	1	250	4	0	0	252	go1_savory1.jpeg
fMRI	4	A	food	1	savory	2	1	300	3	2	552	302	go2_savory3.jpeg
fMRI	4	A	food	1	savory	2	0	0	1	0	0	0	go2_savory3.jpeg
fMRI	4	A	food	1	savory	2	1	250	4	0	0	254	go2_savory6.jpeg
fMRI	4	A	food	1	savory	1	1	300	4	0	0	304	go1_savory5.jpeg
fMRI	4	A	food	1	savory	1	0	0	4	1	844	0	go1_savory5.jpeg
fMRI	4	A	food	1	savory	2	1	350	3	2	519	356	go2_savory2.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	587	0	go2_savory3.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	480	0	go2_savory1.jpeg
fMRI	4	A	food	1	savory	1	1	300	3	1	756	305	go1_savory1.jpeg
fMRI	4	A	food	1	savory	1	0	0	2	2	514	0	go1_savory4.jpeg
fMRI	4	A	food	1	savory	2	0	0	4	2	598	0	go2_savory4.jpeg
fMRI	4	A	food	2	sweet	1	0	0	1	0	0	0	go1_sweet1.jpeg
fMRI	4	A	food	2	sweet	2	1	250	4	0	0	253	go2_sweet3.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	972	0	go1_sweet6.jpeg
fMRI	4	A	food	2	sweet	1	1	300	3	1	741	305	go1_sweet6.jpeg
fMRI	4	A	food	2	sweet	2	0	0	4	2	609	0	go2_sweet1.jpeg
fMRI	4	A	food	2	sweet	2	0	0	4	2	752	0	go2_sweet2.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	933	0	go1_sweet5.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	533	0	go1_sweet3.jpeg
fMRI	4	A	food	2	sweet	2	1	250	3	2	537	253	go2_sweet2.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	930	0	go1_sweet6.jpeg
fMRI	4	A	food	2	sweet	2	1	200	4	0	0	204	go2_sweet1.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	713	0	go1_sweet4.jpeg
fMRI	4	A	food	2	sweet	1	1	250	4	0	0	252	go1_sweet4.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	529	0	go1_sweet5.jpeg
fMRI	4	A	food	2	sweet	2	0	0	4	2	766	0	go2_sweet3.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	594	0	go1_sweet6.jpeg
fMRI	4	A	food	2	sweet	2	0	0	2	1	485	0	go2_sweet4.jpeg
fMRI	4	A	food	2	sweet	2	0	0	4	2	774	0	go2_sweet1.jpeg
fMRI	4	A	food	2	sweet	2	0	0	1	0	0	0	go2_sweet4.jpeg
fMRI	4	A	food	2	sweet	2	0	0	4	2	764	0	go2_sweet3.jpeg
fMRI	4	A	food	2	sweet	2	0	0	4	2	1000	0	go2_sweet2.jpeg
fMRI	4	A	food	2	sweet	1	0	0	1	0	0	0	go1_sweet5.jpeg
fMRI	4	A	food	2	sweet	1	1	300	4	0	0	303	go1_sweet6.jpeg
fMRI	4	A	food	2	sweet	2	0	0	1	0	0	0	go2_sweet4.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	522	0	go1_sweet2.jpeg
fMRI	4	A	food	2	sweet	2	0	0	4	2	581	0	go2_sweet1.jpeg
fMRI	4	A	food	2	sweet	1	1	350	4	0	0	354	go1_sweet5.jpeg
fMRI	4	A	food	2	sweet	2	1	400	3	2	631	403	go2_sweet2.jpeg
fMRI	4	A	food	2	sweet	2	0	0	1	0	0	0	go2_sweet1.jpeg
fMRI	4	A	food	2	sweet	2	0	0	1	0	0	0	go2_sweet2.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	652	0	go1_sweet6.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	696	0	go1_sweet5.jpeg
fMRI	4	A	food	2	sweet	1	1	350	3	1	849	356	go1_sweet1.jpeg
fMRI	4	A	food	2	sweet	1	0	0	4	1	669	0	go1_sweet2.jpeg
fMRI	4	A	food	2	sweet	2	0	0	4	2	606	0	go2_sweet3.jpeg
fMRI	4	A	food	2	sweet	2	1	300	3	2	675	303	go2_sweet4.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	704	0	go1_sweet2.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	550	0	go1_sweet5.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	591	0	go2_sweet6.jpeg
fMRI	5	C	food	1	sweet	2	1	250	4	0	0	255	go2_sweet5.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	462	0	go1_sweet1.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	586	0	go2_sweet2.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	549	0	go2_sweet4.jpeg
fMRI	5	C	food	1	sweet	1	0	0	2	2	617	0	go1_sweet5.jpeg
fMRI	5	C	food	1	sweet	1	0	0	1	0	0	0	go1_sweet6.jpeg
fMRI	5	C	food	1	sweet	2	0	0	1	0	0	0	go2_sweet3.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	562	0	go2_sweet3.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	575	0	go2_sweet1.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	819	0	go1_sweet5.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	712	0	go1_sweet2.jpeg
fMRI	5	C	food	1	sweet	1	1	300	3	1	497	304	go1_sweet2.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	532	0	go2_sweet3.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	615	0	go2_sweet5.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	472	0	go1_sweet4.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	560	0	go2_sweet3.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	625	0	go2_sweet6.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	593	0	go1_sweet2.jpeg
fMRI	5	C	food	1	sweet	2	1	250	3	2	502	254	go2_sweet1.jpeg
fMRI	5	C	food	1	sweet	2	1	200	4	0	0	205	go2_sweet6.jpeg
fMRI	5	C	food	1	sweet	2	0	0	2	1	689	0	go2_sweet5.jpeg
fMRI	5	C	food	1	sweet	2	1	250	3	2	486	252	go2_sweet3.jpeg
fMRI	5	C	food	1	sweet	1	0	0	2	2	650	0	go1_sweet1.jpeg
fMRI	5	C	food	1	sweet	2	0	0	4	2	558	0	go2_sweet4.jpeg
fMRI	5	C	food	1	sweet	2	1	200	4	0	0	203	go2_sweet4.jpeg
fMRI	5	C	food	1	sweet	1	1	250	4	0	0	254	go1_sweet4.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	729	0	go1_sweet1.jpeg
fMRI	5	C	food	1	sweet	1	0	0	4	1	661	0	go1_sweet6.jpeg
